"","Alive","Dead"
"1",150,37
"2",10,174
"3",19,162
"4",42,122
"5",0,180
"6",0,203
"7",2,169
"8",1,181
"9",18,138
"10",166,28
"11",4,167
"12",0,197
"13",42,136
"14",135,59
"15",0,176
"16",0,196
"17",0,165
"18",106,88
"19",9,167
"20",0,175
"21",1,201
"22",61,121
"23",24,160
"24",21,152
"25",23,147
"26",0,175
"27",29,159
"28",183,8
"29",3,166
"30",13,164
"31",15,172
"32",47,136
"33",44,142
"34",84,93
"35",8,176
"36",5,176
"37",99,97
"38",0,184
"39",0,186
"40",32,159
"41",10,172
"42",83,114
"43",8,164
"44",0,169
"45",36,160
"46",0,180
"47",167,13
"48",24,168
"49",0,212
"50",101,88
"51",6,179
"52",0,188
"53",117,57
"54",33,145
"55",0,186
"56",46,114
"57",0,176
"58",22,156
"59",48,148
"60",16,176
"61",93,101
"62",32,158
"63",0,170
"64",52,133
"65",0,169
"66",42,137
"67",130,60
"68",14,165
"69",0,186
"70",25,167
"71",14,169
"72",0,181
"73",0,176
"74",6,161
"75",10,169
"76",54,127
"77",0,178
"78",54,128
"79",5,162
"80",6,190
"81",125,50
"82",90,109
"83",0,172
"84",15,179
"85",4,185
"86",75,102
"87",0,183
"88",65,134
"89",7,177
"90",49,136
"91",92,81
"92",12,164
"93",157,22
"94",100,101
"95",40,147
"96",54,129
"97",80,95
"98",60,129
"99",3,175
"100",0,178
"101",27,158
"102",49,148
"103",0,178
"104",53,150
"105",5,158
"106",100,96
"107",0,170
"108",0,179
"109",155,37
"110",90,86
"111",0,192
"112",103,77
"113",101,69
"114",48,140
"115",29,154
"116",11,185
"117",0,192
"118",19,161
"119",90,91
"120",0,171
"121",83,88
"122",154,30
"123",0,195
"124",40,143
"125",13,160
"126",0,195
"127",0,172
"128",93,92
"129",3,165
"130",89,92
"131",24,163
"132",95,79
"133",102,77
"134",0,181
"135",20,161
"136",110,91
"137",30,164
"138",22,150
"139",33,150
"140",0,170
"141",52,129
"142",47,128
"143",14,159
"144",0,188
"145",14,162
"146",38,159
"147",105,81
"148",4,159
"149",0,203
"150",1,191
"151",11,179
"152",42,135
"153",26,161
"154",35,152
"155",0,168
"156",0,182
"157",12,170
"158",30,143
"159",8,178
"160",22,162
"161",29,154
"162",0,179
"163",0,171
"164",0,171
"165",0,192
"166",11,161
"167",0,151
"168",0,202
"169",161,5
"170",14,165
"171",18,153
"172",40,152
"173",160,17
"174",0,181
"175",96,89
"176",86,96
"177",0,191
"178",78,93
"179",55,124
"180",0,182
"181",6,151
"182",0,179
"183",79,104
"184",42,126
"185",3,170
"186",58,124
"187",0,179
"188",57,107
"189",9,189
"190",16,170
